,dress_name,price,description,photo_urls
10,Cleo Top,£60,"The Cleo is our backless, high-neck halter top that is double-lined with ruching on the neck & waist. The Cleo pairs nicely with the Nova Skirt or your favourite pair of jeans.","['//www.susamusa.com/cdn/shop/files/230424_Susamusa_Cleo_Black_056_1.jpg?v=1711034585&width=1946', '//www.susamusa.com/cdn/shop/products/IMG_0394.jpg?v=1711034585&width=1946', '//www.susamusa.com/cdn/shop/files/230424_Susamusa_Cleo_Black_011_1.jpg?v=1711034585&width=1946', '//www.susamusa.com/cdn/shop/products/IMG_0398.jpg?v=1711034585&width=1946', '//www.susamusa.com/cdn/shop/files/Cleo_Top_F.jpg?v=1685723173&width=1946', '//www.susamusa.com/cdn/shop/files/Cleo_Top_B_V2_1.jpg?v=1685723413&width=1946']"
11,Roxana Dress,£125,shape. ,"['//www.susamusa.com/cdn/shop/products/220910_Susamusa_Halter_Dress_264.jpg?v=1707218144&width=1946', '//www.susamusa.com/cdn/shop/products/220910_Susamusa_Halter_Dress_323.jpg?v=1712145715&width=1946', '//www.susamusa.com/cdn/shop/products/220910_Susamusa_Halter_Dress_370.jpg?v=1712145715&width=1946', '//www.susamusa.com/cdn/shop/products/220910_Susamusa_Halter_Dress_371.jpg?v=1712145715&width=1946', '//www.susamusa.com/cdn/shop/products/220910_Susamusa_Halter_Dress_364.jpg?v=1668096761&width=1946', '//www.susamusa.com/cdn/shop/files/Roxana_Dress_cd599806-d672-4bc4-b2b6-d4a6bf9256d6.png?v=1692715568&width=1946']"
12,Long Sleeve Gina - Khaki,£55,,"['//www.susamusa.com/cdn/shop/products/Gina_Long_Khaki_1.jpg?v=1639034041&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Long_Khaki_3.jpg?v=1639049141&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Long_Khaki_6.jpg?v=1639049141&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Long_Khaki_2.jpg?v=1639049141&width=1946', '//www.susamusa.com/cdn/shop/products/Gina_Long_Khaki_5.jpg?v=1639049141&width=1946', '//www.susamusa.com/cdn/shop/files/Khaki_Longsleeve_Backless_Top_Front_1.jpg?v=1692957859&width=1946', '//www.susamusa.com/cdn/shop/files/Khaki_Longsleeve_Backless_Top_Back_1.jpg?v=1692957857&width=1946']"
13,Cyra Dress - White,£75,"Sheer, dainty and with a cascading cut, the Cyra Dress flows romantically along the body. Made with vintage lace, you can layer it over a silk slip or wear her how she is, either way it is guaranteed to turn heads. ","['//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Cyra_Dress_White_005.jpg?v=1707225167&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Cyra_Dress_White_012.jpg?v=1712145610&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Cyra_Dress_White_029.jpg?v=1712145610&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Cyra_Dress_White_026.jpg?v=1712145610&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Cyra_Dress_White_055.jpg?v=1707225167&width=1946', '//www.susamusa.com/cdn/shop/files/Lace_Cyra.png?v=1692715679&width=1946']"
14,Cora Dress,£85,"The Cora is our take on a timeless midi dress. It features subtle ruching down the front, cap sleeves & a middle slit down the centre.","['//www.susamusa.com/cdn/shop/products/220910_SusamusaCoradress_313.jpg?v=1663603517&width=1946', '//www.susamusa.com/cdn/shop/products/220910_Susamusa_Coradress_355.jpg?v=1712145654&width=1946', '//www.susamusa.com/cdn/shop/products/220910_Susamusa_Maz_Dress_323.jpg?v=1712145654&width=1946', '//www.susamusa.com/cdn/shop/products/220910_Susamusa_Maz_Dress_332.jpg?v=1712145654&width=1946', '//www.susamusa.com/cdn/shop/products/220910_Susamusa_Maz_Dress_383.jpg?v=1712145654&width=1946']"
15,Roya Dress - Ivory,£95,"Made in beautiful corded lace, the Roya is finished with a scalloped hem, square neckline and thick straps.She is designed to spotlight your fierce and romantic side. Roya is Persian for dream and for us, she is the dream dress.","['//www.susamusa.com/cdn/shop/files/Reshoot_Ivory_Roya_005.jpg?v=1698337290&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Ivory_Roya_037.jpg?v=1698337290&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Ivory_Roya_024.jpg?v=1698337290&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Ivory_Roya_043.jpg?v=1698337303&width=1946', '//www.susamusa.com/cdn/shop/files/Ivory_Lace_DRESS-FRONT.jpg?v=1692958181&width=1946']"
16,Roya Dress - Scarlet Red,£95,"Made in beautiful corded lace, the Roya is finished with a scalloped hem, square neckline and thick straps.She is designed to spotlight your fierce and romantic side. Roya is Persian for dream and for us, she is the dream dress.","['//www.susamusa.com/cdn/shop/files/Reshoot_Red_Roya_003.jpg?v=1698337058&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Red_Roya_027.jpg?v=1698337059&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Red_Roya_016.jpg?v=1698337098&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Red_Roya_019.jpg?v=1698337111&width=1946', '//www.susamusa.com/cdn/shop/files/Red_Lace_DRESS-FRONT.jpg?v=1692958163&width=1946']"
17,Iris Top - Black,£70,"Cut on the bias, the Iris is tailored to an asymmetric silhouette. Featuring a cascading slit sleeve, the Iris Top is lightweight and elegant.","['//www.susamusa.com/cdn/shop/files/Reshoot_Iris_Top_007.jpg?v=1698421123&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Iris_Top_013.jpg?v=1698421123&width=1946', '//www.susamusa.com/cdn/shop/files/Reshoot_Iris_Top_022.jpg?v=1707224153&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_033.jpg?v=1707224200&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_077.jpg?v=1707224275&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_029.jpg?v=1707224275&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_055.jpg?v=1707224228&width=1946', '//www.susamusa.com/cdn/shop/files/Black_Iris_set_GM.png?v=1686846858&width=1946']"
18,Iris Skirt - Brown,£80,"Cut on the bias, the Iris is tailored to an asymmetric silhouette. Featuring a cascading slit sleeve, the Iris Top is lightweight and elegant.","['//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Brown_029_e58f13be-5a27-447e-8081-4e16fd0c3fd8.jpg?v=1707216463&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Brown_049_eb59e80b-bfec-4618-931e-47c256510e71.jpg?v=1707226319&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Brown_016_f7849626-564a-4e2b-a4c1-0b6127117f58.jpg?v=1707226319&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Brown_043_b9774b65-bc3a-4a0c-a67b-31c14d6a5367.jpg?v=1707226319&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Brown_060_c1165540-9aab-43f4-a677-f818693c5cb9.jpg?v=1707226319&width=1946', '//www.susamusa.com/cdn/shop/files/Iris_set_brown_GM.png?v=1686846920&width=1946']"
19,Iris Skirt - Black,£80,"The Iris Skirt is cut on a bias, featuring a cascading ruffle down one side. Double lined but still with a lightweight drape, the Iris Skirt sways with your movements & is perfect for a romantic summer.","['//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_029_ab858cba-c7ba-4611-b504-7b6863049252.jpg?v=1707216088&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_055_9173c5aa-03d3-461b-83ce-9323f7e83d9f.jpg?v=1707224102&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_039_6c000abf-4eb1-4da8-a831-814d664fc218.jpg?v=1707224102&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_007.jpg?v=1707224102&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_013_11dac676-4d2f-482e-9b28-7c3bd41cab99.jpg?v=1707224102&width=1946', '//www.susamusa.com/cdn/shop/files/Black_Iris_set_GM.png?v=1686846858&width=1946']"
20,Iris Set,£150,"The Iris Skirt is cut on a bias, featuring a cascading ruffle down one side. Double lined but still with a lightweight drape, the Iris Skirt sways with your movements & is perfect for a romantic summer.","['//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_029_2cb15100-2b73-4e0f-ad20-08eed2e53067.jpg?v=1711020322&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_013_188b79c4-d768-4cf6-ad45-fffc86a898fb.jpg?v=1712145898&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_039_7844d810-40f8-4d90-8ed2-0733f9d5668a.jpg?v=1712146157&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_007_b34dd5e0-9e80-4a74-adc9-87c3bed457ef.jpg?v=1712146157&width=1946', '//www.susamusa.com/cdn/shop/files/230131_Susamusa_Website_Iris_Set_Black_055_e3fa217d-c0cc-44fb-a84d-e17a09b029b0.jpg?v=1712146157&width=1946', '//www.susamusa.com/cdn/shop/files/Black_Iris_set_GM.png?v=1686846858&width=1946']"
21,Baguette Bag,£55,"The Iris Skirt is cut on a bias, featuring a cascading ruffle down one side. Double lined but still with a lightweight drape, the Iris Skirt sways with your movements & is perfect for a romantic summer.","['//www.susamusa.com/cdn/shop/files/2.png?v=1711036964&width=1946', '//www.susamusa.com/cdn/shop/files/3.png?v=1711036964&width=1946', '//www.susamusa.com/cdn/shop/products/Black_Sienna_Shirt_138.jpg?v=1711036964&width=1946', '//www.susamusa.com/cdn/shop/products/IMG_7253.jpg?v=1711036964&width=1946']"
22,Nova Set - Brown and Slate,£125,"Our Nova silhouette in brown and slate. Reversible two-toned set, made from a buttery soft fabric that will hug you in all the right places. ","['//www.susamusa.com/cdn/shop/files/nova_slate_e801ff01-c2b0-421f-b62e-5a3d949cb4ef.png?v=1712146758&width=1946', '//www.susamusa.com/cdn/shop/files/Brown_Silver_Nova_097.jpg?v=1712147019&width=1946', '//www.susamusa.com/cdn/shop/files/NovaSet_Slate_5_09f15abe-55ca-4359-a8cf-aef9c9e6e75e.jpg?v=1712147019&width=1946', '//www.susamusa.com/cdn/shop/files/NovaSet_Slate1_3d9abc4d-1e08-4dbd-9aed-70899e5d090e.jpg?v=1712147019&width=1946', '//www.susamusa.com/cdn/shop/files/Brown_Silver_Nova_103_48e27dcb-bcd6-484b-863f-151096ebea5d.jpg?v=1712147019&width=1946', '//www.susamusa.com/cdn/shop/files/NovaSet_Slate_6_510f283a-fdd4-4cfd-a8f3-b6a264917dfc.jpg?v=1712147019&width=1946', '//www.susamusa.com/cdn/shop/files/Brown_Silver_Nova_121_55853b15-f0e5-463b-b17f-8dbd64df028c.jpg?v=1712147019&width=1946', '//www.susamusa.com/cdn/shop/files/Slate_Brown_Nova_63a0fff8-a0d6-48de-b87c-6ccfe3b3b163.png?v=1708528993&width=1946']"
